Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CognitiveComplexity,HalsteadMaintainIdx
Public Method,"module.exports.update",,,,,,,,,,,,,,,,,,,,,,,,18,1,17,0,8,3,6,3,,,2,,3,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.update",,,,,,,,,,,,,,,,,,,,,,,,19,3,16,0,8,3,6,3,,,2,,3,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.validate",,,,,,,,,,,,,,,,,,,,,,,,12,1,11,0,7,3,6,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.validateActivationRequest",,,,,,,,,,,,,,,,,,,,,,,,21,5,16,0,10,1,9,5,,,1,,5,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.validateCSR",,,,,,,,,,,,,,,,,,,,,,,,19,3,16,0,10,4,9,4,,,3,,4,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.validateDeactivationRequest",,,,,,,,,,,,,,,,,,,,,,,,13,3,10,0,6,1,5,3,,,1,,3,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.validateLicense",,,,,,,,,,,,,,,,,,,,,,,,79,15,64,0,30,16,20,10,,,1,,10,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.verifyClientCert",,,,,,,,,,,,,,,,,,,,,,,,31,6,25,0,13,6,13,4,,,2,,4,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.verifyNonce",,,,,,,,,,,,,,,,,,,,,,,,9,2,7,0,4,1,4,2,,,1,,3,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"module.exports.verifyNonce.(unnamed_function_3)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.verifyRequestSignature",,,,,,,,,,,,,,,,,,,,,,,,17,2,15,0,7,3,7,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
File,"order.js",37,6,32,0,4,,,0,,,8,,7,,,,,,,,,,,232,40,192,0,87,34,63,1,7,,3,"0,00",31,0,0,"0,00","0,00",,"0,00"
Function,"parseCSR",,,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,6,3,6,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"parseClientCertFromHeaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
File,"pluginId.js",0,0,0,0,1,,,0,,,1,,0,,,,,,,,,,,7,1,6,0,2,0,2,1,1,,0,"0,00",1,0,0,"0,00","0,00",,"0,00"
File,"policies.test.js",238,51,187,0,1,,,0,,,35,,34,,,,,,,,,,,238,51,187,0,79,18,72,1,1,,0,"0,00",35,0,0,"0,00","0,00",,"0,00"
File,"product.js",22,4,19,0,3,,,0,,,10,,9,,,,,,,,,,,213,41,172,0,91,37,66,1,6,,2,"0,00",31,0,0,"0,00","0,00",,"0,00"
File,"rate-limit.js",33,6,27,0,3,,,0,,,2,,1,,,,,,,,,,,35,7,28,0,21,7,16,1,5,,2,"0,00",6,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"refund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"register",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
File,"register.js",3,0,3,0,1,,,0,,,2,,1,,,,,,,,,,,5,1,4,0,3,0,3,1,1,,0,"0,00",2,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"revoke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"revokeClientCertificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"revokeLicense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"revokeLicenseFromPayment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"setNonce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
File,"setup.js",10,0,10,0,1,,,0,,,20,,19,,,,,,,,,,,83,5,64,14,5,1,5,1,1,,0,"0,22",20,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"signResponse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
File,"strapi-server.js",0,0,0,0,1,,,0,,,1,,0,,,,,,,,,,,18,2,2,14,2,0,2,1,1,,0,"7,00",1,0,0,"0,00","0,00",,"0,00"
File,"utils.test.js",84,15,69,0,1,,,0,,,19,,18,,,,,,,,,,,84,15,69,0,51,12,49,1,1,,0,"0,00",19,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"validate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
